Year,State,District ID,District Name,Grade range of responsibility,Total Population,Relevant Ages 5 to 17 Population,Relevant Ages 5 to 17 in Families in Poverty,Relevant age 5 to 17 Ratio,Relevant Ages 5 to 17 Ratio LB 90%,Relevant Ages 5 to 17 Ratio UB 90%,Map
2019,1,100001,Fort Rucker School District (AL),KG-12,"4,547",861,133,15.4,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100001&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100003,Maxwell AFB School District (AL),KG-12,"2,482",243,27,11.1,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100003&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100005,Albertville City School District (AL),KG-12,"22,051","4,131",957,23.2,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100005&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100006,Marshall County School District (AL),PK-12,"49,087","8,800","1,927",21.9,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100006&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100007,Hoover City School District (AL),KG-12,"83,044","14,541",955,6.6,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100007&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100008,Madison City School District (AL),PK-12,"48,401","9,775",690,7.1,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100008&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100011,Leeds City School District (AL),KG-12,"11,920","1,728",273,15.8,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100011&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100012,Boaz City School District (AL),PK-12,"9,759","1,756",387,22,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100012&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100013,Trussville City School District (AL),KG-12,"19,965","3,866",238,6.2,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100013&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100030,Alexander City City School District (AL),KG-12,"16,920","2,575",703,27.3,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100030&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100060,Andalusia City School District (AL),KG-12,"8,842","1,465",406,27.7,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100060&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100090,Anniston City School District (AL),PK-12,"22,043","3,065","1,057",34.5,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100090&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100100,Arab City School District (AL),PK-12,"8,414","1,523",225,14.8,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100100&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100120,Athens City School District (AL),KG-12,"26,143","4,040",630,15.6,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100120&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100180,Attalla City School District (AL),PK-12,"6,000",936,268,28.6,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100180&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100185,Saraland City School District (AL),KG-12,"13,812","2,211",305,13.8,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100185&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
